Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C1526089,SI4735-D60-GU,SILICON LABS,SSOP-24-150mil,,2.7V~5.5V SSOP-24-150mil RF Transceiver ICs RoHS,yes,1,1,1,12.0922,12.09,https://www.lcsc.com/product-detail/C1526089.html
2,C2907044,FRC0603F5101TS,FOJAN,0603,,5.1kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0027,0.27,https://www.lcsc.com/product-detail/C2907044.html
3,C844918,CRCW060310K0FKEA,VISHAY,0603,,100mW 10kΩ 75V Thick Film Resistor ±1% ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0081,0.81,https://www.lcsc.com/product-detail/C844918.html
4,C4149532,CR16000J,Meritek,0603,,0Ω 100mW Thick Film Resistor ±5% ±200ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,yes,1,1,1,0.0026,0.01,https://www.lcsc.com/product-detail/C4149532.html
5,C2930050,FRC0603F1501TS,FOJAN,0603,,1.5kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0026,0.26,https://www.lcsc.com/product-detail/C2930050.html
6,C2075552,TNPW06031K10BEEA,VISHAY,0603,,1.1kΩ 125mW 75V Thin Film Resistor ±0.1% ±25ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,yes,5,5,5,0.2991,1.50,https://www.lcsc.com/product-detail/C2075552.html
7,C728581,RT0603BRD0711KL,YAGEO,0603,,100mW 11kΩ 75V Thin Film Resistor ±25ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,yes,20,20,20,0.0321,0.64,https://www.lcsc.com/product-detail/C728581.html
8,C170641,WR06W5R11FTL,Walsin,0603,,100mW 5.11Ω 75V Thick Film Resistor -200ppm/℃~+400ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0015,0.15,https://www.lcsc.com/product-detail/C170641.html
9,C17181196,B57321V2222H060,TDK,0603,,2.2kΩ 180mW ±3% 3940K 0603 NTC Thermistors RoHS,yes,2,1,1,0.0799,0.16,https://www.lcsc.com/product-detail/C17181196.html
10,C388885,EVQPUD02K,PANASONIC,"SMD,4.7x4.5mm",,"Tactile Switch SPST 2.2N 1.65mm J-Lead 4.7mm x 4.5mm Surface Mount, Right Angle",yes,10,5,5,0.2299,2.30,https://www.lcsc.com/product-detail/C388885.html
11,C72443,KMR221GLFS,C&K,"SMD,4.6x2.8mm",,Tactile Switch SPST 200gf 1.9mm Gull Wing 4.6mm x 2.8mm Surface Mount,yes,9,1,1,0.6515,5.86,https://www.lcsc.com/product-detail/C72443.html
12,C7519,USBLC6-2SC6,ST,SOT-23-6L,,17VC Clamp 5A Ipp ESD DIODE SOT-23-6L,yes,5,5,5,0.1825,0.91,https://www.lcsc.com/product-detail/C7519.html
13,C5656610,ICS-43434,TDK InvenSense,LGA-6(3.5x2.7),,Omnidirectional -26dB 64dB LGA-6(3.5x2.7) Microphones RoHS,yes,1,1,1,4.6604,4.66,https://www.lcsc.com/product-detail/C5656610.html
14,C43306,BQ24090DGQR,TI,MSOP-10-EP,,4.45V~6.45V 1 Lithium Battery 1A MSOP-10-EP Battery Chargers RoHS,yes,1,1,1,0.9495,0.95,https://www.lcsc.com/product-detail/C43306.html
15,C2071163,TPS613222ADBVR,TI,SOT-23-5,,Boost Switching Regulator IC Fixed 5V 1 Output SOT-23-5,yes,1,1,1,0.3711,0.37,https://www.lcsc.com/product-detail/C2071163.html
16,C51953287,XTLV70233-XC,SiChange,SOT-23-5,,"3.3V Positive Fixed SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",yes,1,1,1,0.0519,0.05,https://www.lcsc.com/product-detail/C51953287.html
17,C68214,TPS7A4701RGWT,TI,VQFN-20-EP(5x5),,Linear Voltage Regulator IC Positive Adjustable 1 Output 1A VQFN-20-EP(5x5),yes,1,1,1,5.4759,5.48,https://www.lcsc.com/product-detail/C68214.html
18,C114409,STM32H743VIT6,ST,LQFP-100(14x14),,ARM Cortex-M7 32 Bit 480MHz 82 LQFP-100(14x14) Microcontrollers RoHS,yes,1,1,1,15.0712,15.07,https://www.lcsc.com/product-detail/C114409.html
19,C118347,ISL29035IROZ-T7,RENESAS,DFN-6(1.5x1.5),,"2.25V~3.63V DFN-6(1.5x1.5) Ambient Light, IR, UV Sensors RoHS",yes,1,1,1,0.8870,0.89,https://www.lcsc.com/product-detail/C118347.html
20,C126672,LSM6DSLTR,ST,LGA-14(2.5x3),,LGA-14(2.5x3) IMUs (Inertial Measurement Units) RoHS,yes,1,1,1,2.7347,2.73,https://www.lcsc.com/product-detail/C126672.html
21,C1520508,DS3231M+,MAXIM,SOIC-16-300mil,,Built-in Yes SOIC-16-300mil Real Time Clocks RoHS,yes,1,1,1,3.5756,3.58,https://www.lcsc.com/product-detail/C1520508.html
22,C125972,BME680,Bosch,LGA-8,,30Kpa~1.1bar LGA-8 Specialized Sensors RoHS,yes,1,1,1,10.8042,10.80,https://www.lcsc.com/product-detail/C125972.html
23,C965907,CS43131-CNZR,Cirrus Logic,LQFN-40-EP(5x5),,LQFN-40-EP(5x5) Digital to Analog Converters (DAC) RoHS,yes,1,1,1,3.6272,3.63,https://www.lcsc.com/product-detail/C965907.html
24,C111903,AA08000002,TXC,SMD5032-2P,,Crystal 8MHz ±30ppm 8pF 150Ω SMD5032-2P,yes,1,1,1,0.3377,0.34,https://www.lcsc.com/product-detail/C111903.html
25,C140782,GRM188R60J476ME15D,muRata,0603,,47uF ±20% 6.3V Ceramic Capacitor X5R 0603,yes,5,5,5,0.2397,1.20,https://www.lcsc.com/product-detail/C140782.html
26,C1591,CL10B104KB8NNNC,Samsung Electro-Mechanics,0603,,100nF ±10% 50V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0160,1.60,https://www.lcsc.com/product-detail/C1591.html
27,C107034,CC0603JRNPO9BN120,YAGEO,0603,,12pF ±5% 50V Ceramic Capacitor NP0 0603,yes,100,100,100,0.0090,0.90,https://www.lcsc.com/product-detail/C107034.html
28,C23630,CL10A225KO8NNNC,Samsung Electro-Mechanics,0603,,2.2uF ±10% 16V Ceramic Capacitor X5R 0603,yes,50,50,50,0.0289,1.45,https://www.lcsc.com/product-detail/C23630.html
29,C29936,CL10B105KA8NNNC,Samsung Electro-Mechanics,0603,,1uF ±10% 25V Ceramic Capacitor X7R 0603,yes,50,50,50,0.0229,1.15,https://www.lcsc.com/product-detail/C29936.html
30,C100042,CC0603KRX7R9BB103,YAGEO,0603,,10nF ±10% 50V Ceramic Capacitor X7R 0603,yes,50,50,50,0.0160,0.80,https://www.lcsc.com/product-detail/C100042.html
31,C445715,C1608X5R0J156MT000E,TDK,0603,,15uF ±20% 6.3V Ceramic Capacitor X5R 0603,yes,5,5,5,0.1322,0.66,https://www.lcsc.com/product-detail/C445715.html
32,C19666,CL10A475KO8NNNC,Samsung Electro-Mechanics,0603,,4.7uF ±10% 16V Ceramic Capacitor X5R 0603,yes,10,10,10,0.0339,0.34,https://www.lcsc.com/product-detail/C19666.html
33,C100040,CC0603KRX7R9BB102,YAGEO,0603,,1nF ±10% 50V Ceramic Capacitor X7R 0603,yes,50,50,50,0.0152,0.76,https://www.lcsc.com/product-detail/C100040.html
34,C21122,CL10B223KB8NNNC,Samsung Electro-Mechanics,0603,,22nF ±10% 50V Ceramic Capacitor X7R 0603,yes,50,50,50,0.0151,0.76,https://www.lcsc.com/product-detail/C21122.html
35,C2762594,CL10A226MO7JZNC,Samsung Electro-Mechanics,0603,,22uF ±20% 16V Ceramic Capacitor X5R 0603,yes,5,5,5,0.1293,0.65,https://www.lcsc.com/product-detail/C2762594.html
36,C107035,CC0603JRNPO9BN121,YAGEO,0603,,120pF ±5% 50V Ceramic Capacitor NP0 0603,yes,100,100,100,0.0077,0.77,https://www.lcsc.com/product-detail/C107035.html
37,C19702,CL10A106KP8NNNC,Samsung Electro-Mechanics,0603,,10uF ±10% 10V Ceramic Capacitor X5R 0603,yes,20,20,20,0.0390,0.78,https://www.lcsc.com/product-detail/C19702.html
38,C17669451,ACDSV6-4448TI-G,Comchip,SOT-363,,3 Independent 100mA 4ns 80V 1V@100mA SOT-363 Diode Arrays RoHS,yes,3,1,1,0.1650,0.50,https://www.lcsc.com/product-detail/C17669451.html
39,C41374260,BAT54W,BORN,SOT-323,,Diode 30V 200mA Surface Mount SOT-323,yes,20,20,20,0.0237,0.47,https://www.lcsc.com/product-detail/C41374260.html
40,C22439302,APA102-2020 SuperLED,Led-Color,"SMD-6P,2x2mm",,"160° SMD-6P,2x2mm LED Indication - Discrete RoHS",yes,4,1,1,0.0583,0.23,https://www.lcsc.com/product-detail/C22439302.html
41,C19330,BLM18AG601SN1D,muRata,0603,,600Ω@100MHz 1 Line Ferrite Bead 0603 500mA 380mΩ,yes,50,50,50,0.0149,0.75,https://www.lcsc.com/product-detail/C19330.html
42,C165948,TYPE-C-31-M-12,Korean Hroparts Elec,SMD,,USB-C (USB TYPE-C) Receptacle Connector 16 Position Surface Mount,yes,5,5,5,0.1709,0.85,https://www.lcsc.com/product-detail/C165948.html
43,C131337,B2B-PH-K-S(LF)(SN),JST,"Through Hole,P=2mm",,Connector Header 2 position 2mm Pitch 2A Through Hole -25℃~+85℃,yes,20,20,20,0.0353,0.71,https://www.lcsc.com/product-detail/C131337.html
44,C2939583,PJ-31060,HOOYA,SMD,,3.5mm Headphone Jack Surface Mount,yes,5,5,5,0.2397,1.20,https://www.lcsc.com/product-detail/C2939583.html
45,C719027,DM3D-SF,HRS,SMD,,Micro SD card (TF card) Connector and Ejector Push-Pull Surface Mount,yes,1,1,1,1.1168,1.12,https://www.lcsc.com/product-detail/C719027.html
46,C223408,LB3218T471K,Taiyo Yuden,1207,,54mA 470uH ±10% 14Ω Wire-wound inductor 1207 Fixed Inductors RoHS,yes,5,5,5,0.0574,0.29,https://www.lcsc.com/product-detail/C223408.html
47,C383369,MLP2012H2R2MT0S1,TDK,0805,,1A 2.2uH ±20% 150mΩ 0805 Fixed Inductors RoHS,yes,5,5,5,0.1099,0.55,https://www.lcsc.com/product-detail/C383369.html
