Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C5",0603,3,10uF,
"C10, C14, C15, C17, C20, C44, C45, C49, C50, C51, C52",0603,11,0.1uF,
"C11, C8",0603,2,12pF,
"C13, C16, C19, C23, C26, C27, C28, C29, C30, C31, C32, C33, C34, C35, C41, C43, C53",0603,17,100nF,
"C18, C21, C38, C39, C40, C54, C55, C56, C57, C58",0603,10,2.2uF,
"C2, C24, C25, C4, C59, C6",0603,6,1uF,
C22,0603,1,10nF,
"C36, C37",0603,2,15uF,
"C42, C60",0603,2,4.7uF,
"C46, C48",0603,2,1nF,
C47,0603,1,22nF,
C61,0603,1,22uF,
C62,0603,1,120pF,
C7,0603,1,47uF,
"D1, D2, D3",SOT-363_SC-70-6,3,ACDSV6-4448TI-G,
D10,SOT-323_SC-70,1,BAT54W,
"D4, D5, D6, D7",LED-APA102-2020,4,APA102-2020,
"D8, D9",0603,2,LED,
FB1,0603,1,600R @ 100MHz,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
J3,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
J4,Jack_3.5mm_PJ31060-I_Horizontal,1,AudioJack3_Ground_SwitchTR,
J5,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det2,
"J6, J7",SMA_Amphenol_901-143_Horizontal,2,SMA,
J8,PinHeader_1x08_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x08,
L1,1206,1,450uH,
L2,0805,1,2.2uH,
MK1,InvenSense_ICS-43434-6_3.5x2.65mm,1,ICS-43434,
"R1, R2",0603,2,5.1k,
"R10, R12, R13, R14, R15, R16, R17, R18, R19, R20, R5, R6, R7, R8, R9, TH1",0603,16,10k,
R11,0603,1,600,
"R21, R22",0603,2,1.5k,
"R23, R25",0603,2,1.1k,
R24,0603,1,11k,
R26,0603,1,5.11R,
"R3, R4",0603,2,22,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",Panasonic_EVQPUM_EVQPUD,8,SW_Push,
"SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW9",SW_Push_1P1T_NO_CK_KMR2,9,SW_Push,
U1,SOT-23-6,1,USBLC6-2SC6,
U10,SSOP-24_3.9x8.7mm_P0.635mm,1,Si4735-D60-GU,
U11,HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.83x1.89mm,1,BQ24090DGQ,
U12,SOT-23-5,1,TPS613222ADBV,
U2,SOT-23-5,1,TLV70233_SOT23-5,
U3,Texas_RGW0020A_VQFN-20-1EP_5x5mm_P0.65mm_EP3.15x3.15mm_ThermalVias,1,TPS7A4701xRGW,
U4,LQFP-100_14x14mm_P0.5mm,1,STM32H743VIT6,
U5,Renesas_DFN-6_1.5x1.6mm_P0.5mm,1,ISL29035,
U6,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSL,
U7,SOIC-16W_7.5x10.3mm_P1.27mm,1,DS3231M,
U8,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,1,BME680,
U9,TQFN-40-1EP_5x5mm_P0.4mm_EP3.5x3.5mm,1,CS43131-CNZR,C965907
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz TXC AA08000002,
