Designator,Mid X,Mid Y,Rotation,Layer
C1,43.7,-82.94,90.0,top
C10,56.0,-55.7,270.0,bottom
C11,63.1,-48.7,180.0,bottom
C13,54.0,-45.0,90.0,top
C14,55.9,-45.4,270.0,top
C15,42.0,-35.6,180.0,top
C16,60.0,-45.5,90.0,top
C17,54.4,-55.7,270.0,bottom
C18,45.0,-55.5,270.0,bottom
C19,42.1,-55.5,270.0,bottom
C2,42.0,-82.94,90.0,top
C20,55.2,-34.1,90.0,top
C21,39.4,-39.7,0.0,bottom
C22,64.7875,-41.0,0.0,top
C23,64.7875,-43.0,0.0,top
C24,64.7875,-45.0,0.0,top
C25,64.7875,-51.0,180.0,top
C26,64.7875,-49.0,180.0,top
C27,46.5,-28.0,0.0,bottom
C28,69.351268,-38.025,90.0,top
C29,68.351268,-35.025,0.0,top
C3,36.0,-82.94,90.0,top
C30,62.8,-64.799132,270.0,bottom
C31,41.5,-46.3,180.0,top
C32,68.5,-79.899132,180.0,bottom
C33,41.5,-44.3,180.0,top
C34,70.5,-82.5,0.0,top
C35,70.5,-84.0,0.0,top
C36,57.44825,-84.975,90.0,top
C37,57.44825,-88.075,90.0,top
C38,58.4,-91.46,270.0,top
C39,56.7,-91.46,270.0,top
C4,34.3,-82.94,90.0,top
C40,59.04825,-81.775,90.0,top
C41,64.675,-83.375,180.0,top
C42,64.675,-81.775,180.0,top
C43,73.0,-81.0,0.0,top
C44,52.0,-58.0,0.0,top
C45,48.0,-58.0,180.0,top
C46,44.5,-55.5,180.0,top
C47,56.0,-50.0,180.0,top
C48,44.5,-53.0,180.0,top
C49,35.0,-89.0,0.0,bottom
C5,28.0,-85.0,270.0,top
C50,39.0,-89.0,0.0,bottom
C51,43.0,-89.0,0.0,bottom
C52,49.5,-89.0,0.0,bottom
C53,50.0,-34.5,180.0,top
C54,62.0,-94.0,180.0,top
C55,70.5,-85.75,0.0,top
C56,65.5,-94.0,180.0,top
C57,65.5,-91.5,270.0,top
C58,67.075,-83.475,90.0,top
C59,35.6,-75.0,90.0,top
C6,30.0,-85.0,270.0,top
C60,37.8,-62.6,0.0,top
C61,38.8,-59.6,270.0,top
C62,35.8,-56.6,0.0,top
C7,29.0,-75.0,90.0,top
C8,63.1,-40.7,0.0,bottom
D1,44.0,-69.4,180.0,bottom
D10,31.8,-59.6,90.0,top
D2,50.0,-69.4,180.0,bottom
D3,56.0,-69.4,180.0,bottom
D4,35.0,-92.0,0.0,bottom
D5,39.0,-92.0,0.0,bottom
D6,43.0,-92.0,0.0,bottom
D7,49.5,-92.0,0.0,bottom
D8,40.0,-93.0,90.0,top
D9,37.0,-93.0,90.0,top
FB1,64.7875,-47.0,0.0,top
H1,70.0,-29.94,0.0,top
H2,30.0,-29.94,0.0,top
H3,30.0,-89.94,0.0,top
H4,70.0,-89.94,0.0,top
J1,50.0,-90.9,0.0,top
J2,36.0,-68.25,180.0,top
J3,31.5,-41.5,0.0,top
J4,61.125,-85.415,180.0,bottom
J5,68.0,-72.755,90.0,top
J6,39.3,-29.5,0.0,top
J7,60.7,-29.5,0.0,top
J8,50.0,-40.0,90.0,top
JP1,55.5,-55.0,270.0,top
L1,44.0,-58.0,0.0,top
L2,33.8,-62.6,180.0,top
MK1,50.0,-31.995,270.0,top
R1,46.7,-84.74,180.0,top
R10,55.5,-58.5,180.0,top
R11,44.5,-48.5,180.0,top
R12,52.5,-27.0,90.0,bottom
R13,27.0,-35.0,180.0,top
R14,73.0,-42.5,180.0,bottom
R15,73.0,-47.0,180.0,bottom
R16,73.0,-55.0,180.0,bottom
R17,27.0,-45.5,0.0,bottom
R18,27.0,-53.5,0.0,bottom
R19,27.0,-61.5,0.0,bottom
R2,53.3,-84.84,0.0,top
R20,40.5,-35.5,180.0,bottom
R21,40.0,-90.0,270.0,top
R22,37.0,-90.0,270.0,top
R23,32.4,-75.0,90.0,top
R24,42.7625,-80.385,0.0,top
R25,34.0,-75.0,90.0,top
R26,32.8,-56.6,0.0,top
R3,49.0,-83.94,90.0,top
R4,51.0,-83.94,90.0,top
R5,52.5,-45.0,90.0,top
R6,53.0,-34.5,90.0,bottom
R7,67.7,-64.799132,270.0,bottom
R8,65.7,-64.799132,90.0,bottom
R9,59.5,-78.5,180.0,top
SW1,50.0,-27.0,0.0,top
SW10,44.0,-69.4,0.0,top
SW11,44.0,-75.4,0.0,top
SW12,50.0,-63.4,0.0,top
SW13,50.0,-69.4,0.0,top
SW14,50.0,-75.4,0.0,top
SW15,56.0,-63.4,0.0,top
SW16,56.0,-69.4,0.0,top
SW17,56.0,-75.4,0.0,top
SW2,27.0,-40.0,90.0,top
SW3,73.0,-40.0,270.0,top
SW4,73.0,-50.0,270.0,top
SW5,73.0,-58.0,270.0,top
SW6,27.0,-48.0,90.0,top
SW7,27.0,-56.0,90.0,top
SW8,27.0,-64.0,90.0,top
SW9,44.0,-63.4,0.0,top
TH1,42.7625,-78.485,0.0,top
TP3,53.5,-80.0,0.0,top
TP4,59.0,-52.0,0.0,top
TP5,59.0,-48.5,0.0,top
TP6,59.5,-55.5,0.0,top
U1,50.0,-79.94,270.0,top
U10,50.0,-52.0,270.0,top
U11,38.0,-79.0,0.0,top
U12,35.8,-59.6,270.0,top
U2,39.0,-82.94,0.0,top
U3,29.0,-80.0,270.0,top
U4,50.0,-45.0,270.0,bottom
U5,45.6,-31.3,270.0,top
U6,66.5,-38.0,90.0,top
U7,68.0,-72.799132,180.0,bottom
U8,44.9,-45.3,0.0,top
U9,62.0,-87.5,0.0,top
Y1,63.1,-44.7,270.0,bottom
